Date,n1,n2
2013-09-01,50000495,50000495
2013-09-01,50000495,50691597
2013-09-01,50000495,50000403
2013-09-01,50000495,50500091
2013-09-01,50000495,50000900
2013-09-01,50000495,50000504
2013-09-01,50000495,50000354
2013-09-01,50000495,50000378
2013-09-01,50000495,50545114
2013-09-01,50000495,50000495
2013-09-01,50000495,50691597
2013-09-01,50000495,50000403
2013-09-01,50000495,50500091
2013-09-01,50000495,50000900
2013-09-01,50000495,50000504
2013-09-01,50000495,50000354
2013-09-01,50000495,50000378
2013-09-01,50000495,50545114
2013-09-01,50000495,50000495
2013-09-01,50691597,50000403
2013-09-01,50691597,50500091
2013-09-01,50691597,50000900
2013-09-01,50691597,50000504
2013-09-01,50691597,50000354
2013-09-01,50691597,50000378
2013-09-01,50691597,50545114
2013-09-01,50691597,50000495
2013-09-01,50000403,50500091
2013-09-01,50000403,50000900
2013-09-01,50000403,50000504
2013-09-01,50000403,50000354
2013-09-01,50000403,50000378
2013-09-01,50000403,50545114
2013-09-01,50000403,50000495
2013-09-01,50500091,50000900
2013-09-01,50500091,50000504
2013-09-01,50500091,50000354
2013-09-01,50500091,50000378
2013-09-01,50500091,50545114
2013-09-01,50500091,50000495
2013-09-01,50000900,50000504
2013-09-01,50000900,50000354
2013-09-01,50000900,50000378
2013-09-01,50000900,50545114
2013-09-01,50000900,50000495
2013-09-01,50000504,50000354
2013-09-01,50000504,50000378
2013-09-01,50000504,50545114
2013-09-01,50000504,50000495
2013-09-01,50000354,50000378
2013-09-01,50000354,50545114
2013-09-01,50000354,50000495
2013-09-01,50000378,50545114
2013-09-01,50000378,50000495
2013-09-01,50545114,50000495
2012-05-13,50000495,50000495
2012-05-13,50000495,50000485
2012-05-13,50000495,50000496
2012-05-13,50000495,50000495
2012-05-13,50000495,50000495
2012-05-13,50000495,50000485
2012-05-13,50000495,50000496
2012-05-13,50000495,50000495
2012-05-13,50000495,50000495
2012-05-13,50000485,50000496
2012-05-13,50000485,50000495
2012-05-13,50000485,50000495
2012-05-13,50000496,50000495
2012-05-13,50000496,50000495
2012-05-13,50000495,50000495
2012-05-13,50000495,50000495
2012-05-13,50000495,50000495
2012-05-13,50000495,50000495
2012-05-13,50000495,50000495
2012-05-13,50000495,50000495
2012-05-13,50000495,50000495
2017-05-14,50000807,50001029
2017-05-14,50000807,50000858
2017-05-14,50000807,50000820
2017-05-14,50000807,50001023
2017-05-14,50000807,50000807
2017-05-14,50000807,50000498
2017-05-14,50000807,50001023
2017-05-14,50000807,50000807
2017-05-14,50000807,50001023
2017-05-14,50000807,50000807
2017-05-14,50000807,50000820
2017-05-14,50001029,50000858
2017-05-14,50001029,50000820
2017-05-14,50001029,50001023
2017-05-14,50001029,50000807
2017-05-14,50001029,50000498
2017-05-14,50001029,50001023
2017-05-14,50001029,50000807
2017-05-14,50001029,50001023
2017-05-14,50001029,50000807
2017-05-14,50001029,50000820
2017-05-14,50000858,50000820
2017-05-14,50000858,50001023
2017-05-14,50000858,50000807
2017-05-14,50000858,50000498
2017-05-14,50000858,50001023
2017-05-14,50000858,50000807
2017-05-14,50000858,50001023
2017-05-14,50000858,50000807
2017-05-14,50000858,50000820
2017-05-14,50000820,50001023
2017-05-14,50000820,50000807
2017-05-14,50000820,50000498
2017-05-14,50000820,50001023
2017-05-14,50000820,50000807
2017-05-14,50000820,50001023
2017-05-14,50000820,50000807
2017-05-14,50000820,50000820
2017-05-14,50001023,50000807
2017-05-14,50001023,50000498
2017-05-14,50001023,50001023
2017-05-14,50001023,50000807
2017-05-14,50001023,50001023
2017-05-14,50001023,50000807
2017-05-14,50001023,50000820
2017-05-14,50000807,50000498
2017-05-14,50000807,50001023
2017-05-14,50000807,50000807
2017-05-14,50000807,50001023
2017-05-14,50000807,50000807
2017-05-14,50000807,50000820
2017-05-14,50000498,50001023
2017-05-14,50000498,50000807
2017-05-14,50000498,50001023
2017-05-14,50000498,50000807
2017-05-14,50000498,50000820
2017-05-14,50001023,50000807
2017-05-14,50001023,50001023
2017-05-14,50001023,50000807
2017-05-14,50001023,50000820
2017-05-14,50000807,50001023
2017-05-14,50000807,50000807
2017-05-14,50000807,50000820
2017-05-14,50001023,50000807
2017-05-14,50001023,50000820
2017-05-14,50000807,50000820
2017-05-14,50001023,50000807
2017-05-14,50001023,50000820
2017-05-14,50001023,50000803
2017-05-14,50001023,50000807
2017-05-14,50001023,50001023
2017-05-14,50001023,50000807
2017-05-14,50001023,50000807
2017-05-14,50000807,50000820
2017-05-14,50000807,50000803
2017-05-14,50000807,50000807
2017-05-14,50000807,50001023
2017-05-14,50000807,50000807
2017-05-14,50000807,50000807
2017-05-14,50000820,50000803
2017-05-14,50000820,50000807
2017-05-14,50000820,50001023
2017-05-14,50000820,50000807
2017-05-14,50000820,50000807
2017-05-14,50000803,50000807
2017-05-14,50000803,50001023
2017-05-14,50000803,50000807
2017-05-14,50000803,50000807
2017-05-14,50000807,50001023
2017-05-14,50000807,50000807
2017-05-14,50000807,50000807
2017-05-14,50001023,50000807
2017-05-14,50001023,50000807
2017-05-14,50000807,50000807
2017-05-14,50001023,50000807
2017-05-14,50001023,50545114
2017-05-14,50001023,50000810
2017-05-14,50001023,50001023
2017-05-14,50001023,50000807
2017-05-14,50001023,50000498
2017-05-14,50001023,50001023
2017-05-14,50001023,50000807
2017-05-14,50001023,50000807
2017-05-14,50000807,50545114
2017-05-14,50000807,50000810
2017-05-14,50000807,50001023
2017-05-14,50000807,50000807
2017-05-14,50000807,50000498
2017-05-14,50000807,50001023
2017-05-14,50000807,50000807
